"Ping Local" "Ping LocalApp-CorpApp" "Ping LocalApp-CorpDB" "Load Average LocalApp" "Load Average LocalDB" "Load Average CORPApp" "TNS ping LocalApp-LocalDB" "TNS ping LocalApp-CorpDB" "Class"
232 317 56.6 2.72 0.40 0.46 0 130 0
0.410 58.6 55.8 3.18 0.54 6.06 0 3560 0
0.390 57.8 55.4 2.36 0.41 6.07 0 120 0
0.366 91.9 56.0 2.64 0.29 6.43 0 120 0
0.455 62.3 55.7 2.95 0.34 5.30 0 130 0
0.358 55.0 55.4 2.23 0.32 3.94 10 120 0
0.442 57.0 55.6 2.02 0.12 2.80 0 130 0
0.312 58.0 55.6 1.70 0.19 1.32 0 120 0
0.374 59.4 55.8 1.45 0.14 0.99 0 130 0
0.431 59.4 55.5 1.25 0.30 0.72 0 130 0
0.390 58.1 55.6 1.03 0.28 0.80 0 120 0
0.394 64.0 55.8 1.31 0.23 5.30 0 130 0
0.367 56.0 55.7 1.34 0.17 3.48 0 120 0
0.317 55.8 55.7 1.71 0.18 2.97 0 120 0
0.421 72.2 58.8 1.35 0.27 3.50 0 130 0
0.350 61.7 57.0 1.68 0.34 3.31 0 130 0
0.385 72.6 56.5 1.82 0.26 3.99 0 130 0
0.426 56.2 56.1 1.73 0.29 3.02 0 130 0
0.512 60.6 56.7 2.37 0.15 2.30 0 130 0
0.398 70.3 60.1 3.15 0.18 3.73 0 130 0
0.329 67.5 56.3 2.54 0.23 2.94 0 130 0
0.346 68.3 55.9 2.05 0.20 3.01 0 120 0
0.530 64.9 56.9 2.26 0.24 1.63 0 130 0
0.535 56.9 56.2 1.36 0.44 1.33 0 130 0
0.272 56.1 57.2 2.10 0.67 0.97 0 130 0
0.434 62.8 56.6 1.81 0.39 0.56 0 130 0
0.369 71.0 56.4 1.65 0.30 2.67 0 130 0
